70,109
71,110
72,111
73,112
73,113
74,114
74,115
75,116
75,118
75,119
75,120
76,122
76,123
76,125
76,126
75,128
75,129
75,131
75,132
75,134
74,135
74,137
74,138
73,140
73,141
72,143
72,144
71,145
71,147
70,148
69,149
69,150
68,151
67,152
66,153
65,154
64,155
63,156
62,156
61,157
60,157
59,158
58,158
57,158
55,158
54,158
53,157
51,157
50,156
48,156
47,155
45,154
43,153
42,152
40,150
38,149
37,148
35,146
34,144
32,143
30,141
29,140
28,138
27,136
25,135
25,133
24,131
23,130
22,128
22,127
22,125
21,124
21,123
21,121
21,120
22,119
22,118
23,117
23,116
24,115
25,114
25,113
26,112
27,111
28,111
30,110
31,109
32,109
33,108
35,108
36,107
37,106
39,106
40,106
42,105
43,105
45,105
46,104
48,104
49,104
51,104
52,104
54,103
55,103
57,104
58,104
60,104
61,104
62,104
64,105
65,105
66,106
67,106
68,107
69,108
70,108
70,109
56,158
55,157
54,156
52,155
51,154
50,153
48,151
47,150
46,149
44,148
43,147
42,145
41,144
39,143
38,142
37,140
35,139
34,138
33,137
32,135
31,134
29,133
28,131
27,130
26,129
25,127
24,126
23,125
22,124
21,123
22,122
23,122
24,122
25,121
26,121
27,120
28,120
29,120
30,119
31,119
32,118
33,117
34,117
35,116
36,116
37,115
38,114
39,113
40,113
41,112
42,111
43,110
45,109
46,109
47,108
48,107
50,106
51,105
52,104
52,104
53,105
54,106
54,107
55,108
56,109
56,110
57,111
58,112
58,113
59,114
60,115
61,115
62,116
62,117
63,118
64,119
65,120
66,120
67,121
68,122
69,123
70,123
71,124
72,125
73,125
74,126
75,126
75,127
75,128
74,129
73,130
72,132
71,133
70,134
69,135
68,136
67,137
67,139
66,140
65,141
64,142
64,143
63,144
62,145
62,146
61,147
61,148
60,149
60,150
59,151
59,152
58,153
58,154
57,155
57,156
57,157
56,158
