255,681
250,677
244,673
238,669
232,665
227,661
221,656
215,651
209,647
203,642
197,637
192,632
186,627
180,621
174,616
168,611
162,605
156,599
150,594
144,588
139,582
133,577
127,571
122,565
116,559
110,553
105,547
100,541
94,536
89,530
84,524
79,518
74,512
69,506
65,500
60,494
56,489
51,483
47,477
43,471
41,468
38,465
41,464
45,464
50,463
54,463
59,462
63,461
68,460
72,459
76,458
81,457
85,455
89,454
94,452
98,451
102,449
107,447
111,445
115,443
120,441
124,439
129,437
133,434
138,432
142,429
147,426
152,423
157,420
161,417
166,414
171,410
177,406
182,402
187,398
193,394
199,389
205,384
211,379
217,373
224,366
231,359
236,354
238,356
239,362
241,367
242,372
244,376
246,381
248,385
250,390
252,394
254,398
257,402
259,406
262,410
264,413
267,417
270,421
272,424
275,428
278,431
281,434
285,437
288,441
291,444
295,446
298,449
302,452
305,455
309,457
313,460
317,462
321,465
325,467
329,469
334,471
338,473
343,475
347,477
352,478
357,480
362,481
365,482
361,487
354,494
347,501
341,508
336,514
331,520
326,526
322,531
317,537
313,542
310,547
306,552
303,557
299,562
296,567
293,572
291,576
288,581
285,585
283,590
281,594
278,599
276,603
274,608
272,612
270,616
269,621
267,625
265,629
264,634
263,638
261,642
260,647
259,651
258,656
258,660
257,664
256,669
256,673
255,678
255,681
